name,description,is_windows_service,ports,protocol,process_name,service_name,icmp_code,icmp_type
MSMQ,,FALSE,1801,tcp,,,0,0
MSMQ,,FALSE,1801,udp,,,0,0
MSMQ-DCs,,FALSE,2101,tcp,,,0,0
MSMQ-Mgmt,,FALSE,2107,tcp,,,0,0
MSMQ-Ping,,FALSE,3527,udp,,,0,0
MSMQ-RPC,,FALSE,2105,tcp,,,0,0
MSMQ-RPC,,FALSE,2103,udp,,,0,0
