name,description,is_windows_service,ports,protocol,process_name,service_name,icmp_code,icmp_type
Server [Tanium],Agent to Tanium Server,FALSE,17472,tcp,,,0,0
Module Server [Tanium],Tanium Module Server,FALSE,17477,tcp,,,0,0
Patch Service [Tanium],Tanium Patch Service,FALSE,17440,tcp,,,0,0
Trace [Tanium],Tanium Trace Server communication,FALSE,17443-17444,tcp,,,0,0
