name,description,is_windows_service,ports,protocol,process_name,service_name,icmp_code,icmp_type
Zabbix Active [Zabbix],Zabbix active,FALSE,10051,tcp,,,0,0
Zabbix Passive [Zabbix],Zabbix active,FALSE,10050,tcp,,,0,0
